tipo	sede	proy	oc	rut	fecha	doc	neto	iva	total	ir
MANT	ABS	68500	POABS(Nat)002614	77.552.839-7	02/07/2026	482	1614498	306755	1921253	IR412016
MANT	CMA	68500	POCMA-002344	76.941.998-5	02/07/2026	7931	163292	31025	194317	IR412017
MANT	MNU	68000	PO010681	78.197.982-1	02/07/2026	20	372500	70775	443275	IR412037
MANT	ABS	68500	POABS(Nat)002323	77.530.698-K	02/07/2026	610	1976000	375440	2351440	IR412038
MANT	CDV	68500	POCDV-002706	77.530.698-K	02/07/2026	611	624000	118560	742560	IR412039
MANT	CDE	68500	POCDE-002272	77.530.698-K	02/07/2026	612	624000	118560	742560	IR412040
MANT	VLC	68500	POVLC-002517	77.530.698-K	02/07/2026	613	624000	118560	742560	IR412041
MANT	CHI	68500	POCHI-002708	77.530.698-K	02/07/2026	614	312000	59280	371280	IR412042
MANT	CMA	68500	POCMA-002333	77.530.698-K	02/07/2026	615	312000	59280	371280	IR412043
MANT	MNU	68500	PO009381	77.530.698-K	02/07/2026	616	624000	118560	742560	IR412113
MANT	PEN	68500	POPEN-002496	77.530.698-K	02/07/2026	617	3120000	592800	3712800	IR412114
MANT	HUE	68500	POHUE-002461	77.530.698-K	02/07/2026	618	3510000	666900	4176900	IR412115
MANT	CDV	68500	POCDV-002699	77.930.311-K	02/07/2026	223	39486	7502	46988	IR412046
MANT	CMA	68500	POCMA-002329	77.930.311-K	02/07/2026	224	39486	7502	46988	IR412047
MANT	CHI	68500	POCHI-002702	77.930.311-K	02/07/2026	225	39486	7502	46988	IR412048
MANT	TEM	68500	POTEM-003129	77.930.311-K	02/07/2026	226	39486	7502	46988	IR412049
MANT	HUE	68500	POHUE-002455	77.930.311-K	02/07/2026	228	39486	7502	46988	IR412052
MANT	ABS	68000	POABS(Nat)002644	77.770.264-5	03/07/2026	212	14473633	2749990	17223623	IR412118
